horizon_minutes,result_type,cost_bps,capacity_quote,event_count,mean_net_return,median_net_return,win_rate,t_stat
5,bootstrap_draw,8,10000,8937,-0.0010491318358095863,,,
5,bootstrap_draw,8,10000,8937,-0.0010619644133445137,,,
5,bootstrap_draw,8,10000,8937,-0.0010657259720077545,,,
5,bootstrap_draw,8,10000,8937,-0.0010538939765984588,,,
5,bootstrap_draw,8,10000,8937,-0.0010603391444636255,,,
5,bootstrap_draw,8,10000,8937,-0.0010603712874623396,,,
5,bootstrap_draw,8,10000,8937,-0.0010572883219268103,,,
5,bootstrap_draw,8,10000,8937,-0.0010541557095070121,,,
5,bootstrap_draw,8,10000,8937,-0.0010622706178184025,,,
5,bootstrap_draw,8,10000,8937,-0.0010580898202273783,,,
5,bootstrap_draw,8,10000,8937,-0.001062857053271502,,,
5,bootstrap_draw,8,10000,8937,-0.0010596063010634002,,,
5,bootstrap_draw,8,10000,8937,-0.0010571757971312914,,,
5,bootstrap_draw,8,10000,8937,-0.0010667157282365637,,,
5,bootstrap_draw,8,10000,8937,-0.0010614581524329809,,,
5,bootstrap_draw,8,10000,8937,-0.0010541538814317626,,,
5,bootstrap_draw,8,10000,8937,-0.0010497197110544802,,,
5,bootstrap_draw,8,10000,8937,-0.0010631730541148952,,,
5,bootstrap_draw,8,10000,8937,-0.0010508046539147275,,,
5,bootstrap_draw,8,10000,8937,-0.0010589202996185377,,,
5,bootstrap_draw,8,10000,8937,-0.0010569827192090453,,,
5,bootstrap_draw,8,10000,8937,-0.0010555607849255884,,,
5,bootstrap_draw,8,10000,8937,-0.0010625084293728478,,,
5,bootstrap_draw,8,10000,8937,-0.0010678071327384223,,,
5,bootstrap_draw,8,10000,8937,-0.0010680492815955517,,,
5,bootstrap_draw,8,10000,8937,-0.001064323164889519,,,
5,bootstrap_draw,8,10000,8937,-0.0010533097677303427,,,
5,bootstrap_draw,8,10000,8937,-0.0010649008654775415,,,
5,bootstrap_draw,8,10000,8937,-0.0010756348580578576,,,
