draw,beta_binance_to_okx,beta_okx_to_binance,beta_difference_bo_minus_ob
368,-0.010454007072028032,-0.04650025834751723,0.0360462512754892
369,-0.016715006591535447,-0.02591991367264133,0.009204907081105884
370,-0.021487286119623004,-0.0176893648550956,-0.0037979212645274027
371,-0.0031024481561032226,-0.054618475918470924,0.0515160277623677
372,-0.006284654516542097,-0.040536120459814355,0.03425146594327226
373,-0.014790375802046958,-0.03422988411286289,0.01943950831081593
374,-0.014309296285991374,-0.035976836708996957,0.02166754042300558
375,-0.021136464161926296,-0.03417013240035655,0.013033668238430256
376,-0.016430153723759357,-0.02527181244348541,0.008841658719726052
377,-0.011548219777192587,-0.039174059763022566,0.02762583998582998
378,-0.011391710519277874,-0.039940647366928796,0.028548936847650922
379,-0.01003370200844919,-0.0461538465025269,0.03612014449407771
380,-0.017866361375873035,-0.024917421569757507,0.007051060193884472
381,-0.008419899463349456,-0.02533506375811341,0.016915164294763953
382,-0.009829908275163175,-0.03317935410039742,0.023349445825234245
383,-0.022668521314857352,-0.029129405871157928,0.006460884556300575
384,-0.015024415291691644,-0.028937716133313186,0.013913300841621542
385,-0.017932490608225233,-0.027732206409347118,0.009799715801121885
386,-0.024722856018223518,-0.044051283975206905,0.019328427956983387
387,-0.022894240504299612,-0.02001499690412281,-0.0028792436001768007
388,-0.013202166034332807,-0.028962782500005047,0.015760616465672242
389,-0.007602760344935924,-0.030830933419940976,0.023228173075005052
390,-0.011670029704886259,-0.04051078704793182,0.02884075734304556
391,-0.012538691639507216,-0.04088135403260821,0.028342662393100994
392,-0.006507986149473931,-0.049569533021408145,0.04306154687193421
393,0.007551391379415878,-0.033599411611526006,0.041150802990941884
394,-0.01833492162989755,-0.04417888757054385,0.025843965940646297
395,-0.012888509254443138,-0.03574384329987301,0.022855334045429873
396,-0.017408575430358217,-0.054307320938519574,0.03689874550816136
397,0.0035056128878798326,-0.03232892134328416,0.03583453423116399
398,-0.012044877150159958,-0.023548543347449956,0.011503666197289998
399,-0.020730317231658506,-0.03981383738855827,0.01908352015689976
400,-0.016578388393140426,-0.04536802179416504,0.028789633401024615
401,-0.014064373779180017,-0.02380790420589317,0.009743530426713151
402,-0.01603558482746001,-0.034862096493678066,0.018826511666218057
403,-0.008689565526643541,-0.04336367735490729,0.03467411182826374
404,-0.01596728026640746,-0.0400070798040188,0.024039799537611338
405,-0.01776998193818069,-0.02681706176355781,0.00904707982537712
406,-0.017293143148538852,-0.01841849974778748,0.0011253565992486274
407,-0.01750901318676279,-0.05077749816291708,0.03326848497615429
408,-0.01770880095017392,-0.026248250452381005,0.008539449502207086
409,-0.018115689331847155,-0.021891317775629318,0.0037756284437821634
410,-0.012984360727160301,-0.02752542153503791,0.01454106080787761
411,-0.0038116898259801953,-0.04094629124241504,0.03713460141643485
412,-0.00951358633344823,-0.03476691223837553,0.0252533259049273
413,-0.004605314551926529,-0.03226040313609006,0.027655088584163535
414,-0.011957593405680216,-0.04109952363082684,0.029141930225146627
415,-0.00783459782933925,-0.04845070225151097,0.04061610442217172
416,-0.023068348458028597,-0.03447531554575565,0.011406967087727052
417,-0.0159239306909009,-0.0633449274360752,0.047420996745174304
